date,open,high,low,close,volume
2025-03-14,106.0722,109.2409,105.3593,108.8943,2301100
2025-03-17,108.8745,111.8353,107.9833,110.6965,2435700
2025-03-18,110.5678,112.8255,110.2608,111.7759,1619300
2025-03-19,111.3699,112.7958,110.5975,111.8056,1920000
2025-03-20,111.5481,111.7363,110.5381,110.6866,1431500
2025-03-21,109.9143,110.5777,108.7656,109.6469,2943100
2025-03-24,109.8449,111.1817,109.6073,110.1519,1034000
2025-03-25,110.4886,111.2114,108.2606,109.3003,1296900
2025-03-26,109.4093,110.9045,108.7854,109.5578,1259200
2025-03-27,109.6865,111.459,109.3696,111.053,1085900
2025-03-28,110.9837,111.9739,110.8253,111.1619,1053500
2025-03-31,110.5169,112.7695,110.5169,112.3131,1285000
2025-04-01,111.1917,112.452,110.9039,111.5093,1398100
2025-04-02,111.0032,112.1047,110.0009,111.6383,1145700
2025-04-03,110.9734,113.5634,110.5566,111.797,2920600
2025-04-04,109.7627,112.6604,106.4483,106.5178,3853000
2025-04-07,104.553,107.6788,100.9905,104.0369,2390400
2025-04-08,105.714,106.1804,100.405,102.0026,1995400
2025-04-09,99.9187,103.8782,98.1524,102.6477,5689900
2025-04-10,102.7866,102.7866,98.9264,101.4767,3078300
2025-04-11,101.8637,102.1515,98.2417,101.566,2275100
2025-04-14,102.0026,102.5484,100.1966,101.1889,2164600
2025-04-15,101.3477,101.3576,96.4455,96.5249,2335500
2025-04-16,97.0806,97.9539,95.8402,96.1975,1800900
2025-04-17,96.257,97.6661,96.0784,97.1699,4367900
2025-04-21,96.7532,97.0012,92.3869,95.4333,2324000
2025-04-22,96.2074,96.902,95.1059,96.6936,1428200
2025-04-23,97.3883,100.2263,97.3883,98.6882,1607000
2025-04-24,99.1249,100.7721,98.3905,100.7225,1972300
2025-04-25,100.6531,101.8439,99.621,100.7325,1662000
2025-04-28,100.9111,101.3973,100.1073,100.9805,1299600
2025-04-29,100.8515,102.4889,100.3256,102.0026,925700
2025-04-30,101.9431,102.4095,100.4744,102.2607,1399600
2025-05-01,101.8736,102.479,99.9088,101.0401,1400700
2025-05-02,101.9927,102.2408,100.2958,101.5958,3275100
2025-05-05,98.8271,99.0554,89.2312,89.7869,7058300
2025-05-06,89.7869,92.1983,89.3999,91.5632,4203100
2025-05-07,92.1388,93.7265,91.6327,93.409,2662400
2025-05-08,93.6571,95.225,92.8632,94.3815,2886100
2025-05-09,94.3517,95.8402,93.6372,94.4807,3438600
2025-05-12,95.8997,99.1149,95.8997,97.4676,3166300
2025-05-13,97.2394,97.4776,95.6219,96.7432,2324000
2025-05-14,96.1379,96.7631,94.2723,94.5998,3550400
2025-05-15,94.8578,96.128,94.4112,95.9891,2512800
2025-05-16,96.3562,96.8127,95.6219,96.2074,2339200
2025-05-19,95.225,95.4433,93.6868,95.0364,2134000
2025-05-20,94.7685,95.5326,94.1929,94.6196,2330700
2025-05-21,93.9548,94.3914,91.7815,92.0296,4030600
2025-05-22,91.4541,92.3373,90.303,90.9678,2077500
2025-05-23,90.1243,93.28,89.5091,91.9304,3141100
